id_syst;name;description;co6_config_variabletypes_id;parent;copra_unit;id;profiles;type;snomed;loinc;ieee;unit;unit_code;profil_canonical;category_coding_system;category_coding_code;category_coding_display;loinc_system;loinc_display;snomed_system;snomed_display;ieee_system;ieee_display;unit_transform
1270;T_K;Körpertemperatur;6;1;°C;58;Körpertemperatur Kern;Observation;276885007;8310-5;150368;Celsius;Cel;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-kern;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body temperature - Core;http://snomed.info/sct;Core body temperature (observable entity);urn:iso:std:iso:11073:10101;Body temperature - Core;1.0
1271;T_K2;Körpertemperatur Messkanal 2;6;1;°C;58;Körpertemperatur Kern;Observation;276885007;8310-5;150368;Celsius;Cel;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-kern;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body temperature - Core;http://snomed.info/sct;Core body temperature (observable entity);urn:iso:std:iso:11073:10101;Body temperature - Core;1.0
100073;SVRI;Index des systemischen Gefäßwiderstandes ;6;1;dynes x sek/cm-5/m2;67;Systemischer vaskulärer Widerstandsindex;Observation;276900001;8837-7;149760;dyne second per centimeter5 and square meter;dyn.s/cm5/m2;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/systemischer-vaskulaerer-widerstandsindex;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Systemic vascular Resistance index;http://snomed.info/sct;Systemic vascular Resistance index (observable entity);urn:iso:std:iso:11073:10101;Systemic vascular resistance indexed;1.0
102026;PVRI;Pulmunaler Gefäßwiderstandsindex ;6;1;dynes x sek/cm-5/m2;66;Pulmonalvaskulärer Widerstandsindex;Observation;276902009;8834-4;152852;dyne second per centimeter5 and square meter;dyn.s/cm5/m2;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/pulmonalvaskulaerer-widerstandsindex;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Pulmonary vascular Resistance index;http://snomed.info/sct;Pulmonary vascular Resistance index (observable entity);urn:iso:std:iso:11073:10101;Pulmonary Vascular Resistance Index;1.0
102038;p-SVRI;Index des systemischen Gefäßwiderstandes (PICCO Modul Dräger Monitoring)  ;6;1;dynes x sek/cm-5/m2;67;Systemischer vaskulärer Widerstandsindex;Observation;276900001;8837-7;149760;dyne second per centimeter5 and square meter;dyn.s/cm5/m2;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/systemischer-vaskulaerer-widerstandsindex;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Systemic vascular Resistance index;http://snomed.info/sct;Systemic vascular Resistance index (observable entity);urn:iso:std:iso:11073:10101;Systemic vascular resistance indexed;1.0
1266;HF;Herzfrequenz;6;1;1/min;72;Herzfrequenz;Observation;364075005;8867-4;147842;per minute;/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/herzfrequenz;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Heart Rate;http://snomed.info/sct;Heart rate (observable entity);urn:iso:std:iso:11073:10101;Heart Rate;1.0
103287;Beatmung_MS_Evita2_frequenz;gemessene Atemfrequenz;6;1;bpm;51;Atemfrequenz;Observation;86290005;9279-1;;per minute;/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemfrequenz;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;"""Respiratory Rate";http://snomed.info/sct;Respiratory rate (observable entity);;;1.0
110933;P_Temperatur_Kern;Anlage für Philips Monitoring;6;1;°C;58;Körpertemperatur Kern;Observation;276885007;8310-5;150368;Celsius;Cel;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-kern;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Body temperature - Core;http://snomed.info/sct;Core body temperature (observable entity);urn:iso:std:iso:11073:10101;Body temperature - Core;1.0
102184;VigilanceC_HZV;Herzzeitvolumen;6;1;L/min;69;Herzzeitvolumen;Observation;82799009;8741-1;150276;liter per minute;L/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/herzzeitvolumen;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Left ventricular Cardiac output;http://snomed.info/sct;Cardiac output (observable entity);urn:iso:std:iso:11073:10101;Cardiac output;1.0
1267;AF;Atemfrequenz;6;1;1/min;51;Atemfrequenz;Observation;86290005;9279-1;;per minute;/min;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemfrequenz;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;"""Respiratory Rate";http://snomed.info/sct;Respiratory rate (observable entity);;;1.0
