id_syst;name;description;co6_config_variabletypes_id;parent;copra_unit;id;profiles;type;snomed;loinc;ieee;profil_canonical;category_coding_system;category_coding_code;category_coding_display;loinc_system;loinc_display;snomed_system;snomed_display;ieee_system;ieee_display;component_sistol_unit_code;component_sistol_unit;component_sistol_loinc;component_sistol_loinc_system;component_sistol_loinc_display;component_sistol_loinc_detailed;component_sistol_loinc_detaile_system;component_sistol_loinc_detaile_display;component_sistol_snomed;component_sistol_snomed_system;component_sistol_snomed_display;component_sistol_ieee;component_sistol_ieee_system;component_sistol_ieee_display;component_mean_unit_code;component_mean_unit;component_mean_loinc;component_mean_loinc_system;component_mean_loinc_display;component_mean_loinc_detailed;component_mean_loinc_detaile_system;component_mean_loinc_detaile_display;component_mean_snomed;component_mean_snomed_system;component_mean_snomed_display;component_mean_ieee;component_mean_ieee_system;component_mean_ieee_display;component_diastol_unit_code;component_diastol_unit;component_diastol_loinc;component_diastol_loinc_system;component_diastol_loinc_display;component_diastol_loinc_detailed;component_diastol_loinc_detaile_system;component_diastol_loinc_detaile_display;component_diastol_snomed;component_diastol_snomed_system;component_diastol_snomed_display;component_diastol_ieee;component_diastol_ieee_system;component_diastol_ieee_display;unit_transform
108504;P_NBP_reBein;Nichtinvasiver Blutdruck rechtes Bein;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
108505;P_NBP_liArm;Nichtinvasiver Blutdruck linker Arm;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
108506;P_NBP_reArm;Nichtinvasiver Blutdruck rechter Arm;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
106468;IABP_CARDIOSAVE_MS_Systole_Mittel_Diastole;Dokumentation des gemessenen Blutdruckes unter IABP;12;1;mm[Hg];74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
1275;NBP;nichtinvasiver Blutdruck;12;1;mmHg;80;Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8480-6;http://loinc.org;Systolic blood pressure;271649006;http://snomed.info/sct;Systolic blood pressure (observable entity);150017;urn:iso:std:iso:11073:10101;Systolic blood pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8478-0;http://loinc.org;Mean blood pressure;6797001;http://snomed.info/sct;Mean blood pressure (observable entity);150019;urn:iso:std:iso:11073:10101;Mean blood pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8462-4;http://loinc.org;Diastolic blood pressure;271650006;http://snomed.info/sct;Diastolic blood pressure (observable entity);150018;urn:iso:std:iso:11073:10101;Diastolic blood pressure;1.0
1275;NBP;nichtinvasiver Blutdruck;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
1276;ABP;arterielle Blutdruck;12;1;mmHg;80;Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8480-6;http://loinc.org;Systolic blood pressure;271649006;http://snomed.info/sct;Systolic blood pressure (observable entity);150017;urn:iso:std:iso:11073:10101;Systolic blood pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8478-0;http://loinc.org;Mean blood pressure;6797001;http://snomed.info/sct;Mean blood pressure (observable entity);150019;urn:iso:std:iso:11073:10101;Mean blood pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8462-4;http://loinc.org;Diastolic blood pressure;271650006;http://snomed.info/sct;Diastolic blood pressure (observable entity);150018;urn:iso:std:iso:11073:10101;Diastolic blood pressure;1.0
102050;PAP;Pulmunalarterieller Druck;12;1;mmHg;79;Pulmonalarterieller Blutdruck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/pulmonalarterieller-blutdruck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8440-0;http://loinc.org;Pulmonary artery Systolic blood pressure;;;;150045;urn:iso:std:iso:11073:10101;Systolic pulmonary arterial pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8414-5;http://loinc.org;Pulmonary artery Mean blood pressure;;;;150047;urn:iso:std:iso:11073:10101;Mean pulmonary arterial pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8385-7;http://loinc.org;Pulmonary artery Diastolic blood pressure;;;;150046;urn:iso:std:iso:11073:10101;Diastolic pulmonary arterial pressure;1.0
102055;LVP;Linksventrikulärer Mitteldruck;12;1;mmHg;78;Linksventrikulärer Druck;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaerer-druck;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;8480-6;http://loinc.org;Systolic blood pressure;8430-1;http://loinc.org;Left ventricular Intrachamber systolic pressure;;;;150101;urn:iso:std:iso:11073:10101;Systolic left ventricular pressure;mm[Hg];millimeter of mercury;8478-0;http://loinc.org;Mean blood pressure;8404-6;http://loinc.org;Left ventricular Intrachamber mean pressure;;;;150103;urn:iso:std:iso:11073:10101;Mean left ventricular pressure;mm[Hg];millimeter of mercury;8462-4;http://loinc.org;Diastolic blood pressure;8375-8;http://loinc.org;Left ventricular Intrachamber diastolic pressure;;;;150102;urn:iso:std:iso:11073:10101;Diastolic left ventricular pressure;1.0
1276;ABP;arterielle Blutdruck;12;1;mmHg;74;Blutdruck Generisch;Observation;75367002;85354-9;;https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/blutdruck-generisch;http://terminology.hl7.org/CodeSystem/observation-category;vital-signs;;http://loinc.org;Blood pressure panel with all children optional;http://snomed.info/sct;Blood pressure (observable entity);;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;mm[Hg];millimeter of mercury;;;;;;;;;;;;;1.0
